country_region,period,day_of_week,avg_retail_recreation,avg_workplaces
France,after_pandemic,1,-4.7018893850910342,-3.670739198689509
France,after_pandemic,2,-10.482244510707508,-28.302848676678558
France,after_pandemic,3,-10.039466558353647,-24.876632996632992
France,after_pandemic,4,-14.277762748545923,-24.220837823275865
France,after_pandemic,5,-13.287028269985123,-26.43515151515151
France,after_pandemic,6,-16.718076845161729,-26.6969696969697
France,after_pandemic,7,-20.616396761133604,-10.697887846683312
France,before_pandemic,1,-0.4763636363636366,-1.1163636363636364
France,before_pandemic,2,-0.13181818181818186,-9.5636363636363644
France,before_pandemic,3,1.2863636363636362,-8.7750000000000021
France,before_pandemic,4,-3.4840909090909093,-7.4954545454545451
France,before_pandemic,5,-3.045454545454545,-9.5954545454545457
France,before_pandemic,6,-1.7340909090909091,-9.29318181818182
France,before_pandemic,7,-6.1054545454545446,-2.6327272727272724
Germany,after_pandemic,1,-13.923178226514485,2.7857769973661113
Germany,after_pandemic,2,-13.555555555555559,-24.940740740740747
Germany,after_pandemic,3,-11.816557734204791,-21.545533769063177
Germany,after_pandemic,4,-11.583442265795206,-21.42570806100218
Germany,after_pandemic,5,-15.125054466230939,-23.81917211328976
Germany,after_pandemic,6,-18.791285403050107,-24.755555555555553
Germany,after_pandemic,7,-22.941612200435731,-3.34640522875817
Germany,before_pandemic,1,2.3647058823529412,-0.788235294117647
Germany,before_pandemic,2,1.4411764705882353,-4.632352941176471
Germany,before_pandemic,3,-0.39705882352941174,-4.0441176470588234
Germany,before_pandemic,4,0.073529411764705913,-2.8970588235294117
Germany,before_pandemic,5,-1.9264705882352937,-3.2941176470588243
Germany,before_pandemic,6,-2.1617647058823528,-4.4411764705882337
Germany,before_pandemic,7,-1.2117647058823526,-0.90588235294117658
