period,date,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
First Lockdown,2020-03-17,-64,-13,-40,-31,-51,22
First Lockdown,2020-03-17,-65,-18,-15,-64,-44,17
First Lockdown,2020-03-17,-68,-23,-51,-58,-56,23
First Lockdown,2020-03-17,-62,-14,-26,-51,-48,21
First Lockdown,2020-03-17,-69,-24,-35,-60,-52,21
First Lockdown,2020-03-17,-64,-21,-35,-51,-50,21
First Lockdown,2020-03-17,-67,-11,-35,-60,-50,21
First Lockdown,2020-03-17,-69,-25,-30,-54,-51,21
First Lockdown,2020-03-17,-70,-29,-34,-50,-54,22
First Lockdown,2020-03-17,-68,-21,-31,-45,-48,19
First Lockdown,2020-03-17,-71,-22,-44,-57,-50,19
First Lockdown,2020-03-17,-68,-18,-33,-60,-53,22
First Lockdown,2020-03-17,-62,-13,-37,-62,-62,29
First Lockdown,2020-03-17,-65,-15,-7,-42,-44,18
First Lockdown,2020-03-17,-65,-17,-40,-45,-51,20
First Lockdown,2020-03-17,-66,-23,-30,-45,-49,20
First Lockdown,2020-03-17,-61,-19,0,-38,-40,16
First Lockdown,2020-03-17,-65,-16,-20,-53,-45,18
First Lockdown,2020-03-17,-61,-18,-26,-53,-44,18
First Lockdown,2020-03-17,-60,-10,-8,-54,-43,19
First Lockdown,2020-03-17,-70,-22,-34,-41,-50,22
First Lockdown,2020-03-17,-66,-15,-26,-55,-49,21
First Lockdown,2020-03-17,-70,-27,-55,-56,-51,20
First Lockdown,2020-03-17,-69,-23,-37,-53,-50,22
First Lockdown,2020-03-17,-61,-11,-8,-33,-44,17
First Lockdown,2020-03-17,-60,-13,-14,5,-43,17
First Lockdown,2020-03-17,-66,-20,-28,-28,-44,21
First Lockdown,2020-03-17,-64,-18,-18,12,-42,16
First Lockdown,2020-03-17,-65,-14,-35,-56,-50,22
First Lockdown,2020-03-17,-62,-17,-20,-64,-44,19
First Lockdown,2020-03-17,-68,-20,-36,-28,-51,22
First Lockdown,2020-03-17,-64,-15,-20,-47,-47,18
First Lockdown,2020-03-17,-66,-23,-34,-41,-48,17
First Lockdown,2020-03-17,-71,-24,-36,-42,-54,23
First Lockdown,2020-03-17,-67,-11,-45,-60,-59,27
First Lockdown,2020-03-17,-66,-15,-17,-17,-48,21
First Lockdown,2020-03-17,-65,-19,-12,-42,-48,18
First Lockdown,2020-03-17,-69,-27,-42,-62,-58,23
First Lockdown,2020-03-17,-67,-21,-37,-50,-51,23
First Lockdown,2020-03-17,-64,-12,-20,-20,-41,16
First Lockdown,2020-03-17,-60,-9,-24,-26,-45,19
First Lockdown,2020-03-17,-62,-15,-10,4,-45,19
First Lockdown,2020-03-17,-65,-14,-21,-50,-43,20
First Lockdown,2020-03-17,-66,-7,-14,-56,-45,18
First Lockdown,2020-03-17,-68,-19,-18,-57,-49,22
First Lockdown,2020-03-17,-64,-12,-33,-39,-49,21
First Lockdown,2020-03-17,-65,-17,-32,-9,-49,22
First Lockdown,2020-03-17,-73,-11,-65,-66,-68,30
First Lockdown,2020-03-17,-68,-17,-47,-45,-49,23
First Lockdown,2020-03-17,-68,-15,-35,-55,-53,24
